"AAPL","Apple Inc.",524.86,526.55,529.09,524.49,528.16,7811835,472.2B
"ADBE","Adobe Systems Inc",57.31,57.23,57.59,56.78,57.17,2044489,28.649B
"ADI","Analog Devices, I",50.71,50.41,50.78,50.05,50.361,1004029,15.755B
"ADP","Automatic Data Pr",77.1355,76.93,77.17,76.55,76.97,1462873,37.135B
"ADSK","Autodesk, Inc.",44.12,44.23,45.03,43.88,44.13,2282204,9.839B
"AKAM","Akamai Technologi",45.76,46.27,46.31,45.62,46.17,1083047,8.191B
"ALTR","Altera Corporatio",32.72,32.54,32.81,32.29,32.48,2364029,10.507B
"ALXN","Alexion Pharmaceu",123.52,119.85,123.57,118.49,119.97,1269027,24.219B
"AMAT","Applied Materials",17.56,17.70,17.74,17.11,17.56,11306844,21.122B
"AMGN","Amgen Inc.",115.01,114.70,115.63,113.70,115.41,2037738,86.732B
"AMZN","Amazon.com, Inc.",368.78,367.67,372.90,365.55,367.396,3759453,168.8B
"ATVI","Activision Blizza",17.68,17.665,17.81,17.59,17.70,5985615,12.295B
"AVGO","Avago Technologie",44.57,42.98,44.81,42.89,42.95,3965109,11.031B
"BBBY","Bed Bath & Beyond",78.24,77.89,78.27,77.58,78.10,729744,16.489B
"BIDU","Baidu, Inc.",162.575,159.32,163.04,159.30,158.99,3429785,56.891B
"BIIB","Biogen Idec Inc.",245.55,237.00,245.81,236.80,237.58,1046048,58.002B
"BRCM","Broadcom Corporat",27.11,27.11,27.20,26.91,26.94,4420755,15.398B
"CA","CA Inc.",32.79,32.82,32.91,32.65,32.68,1663166,14.797B
"CELG","Celgene Corporati",151.11,149.90,151.45,148.0901,150.00,1890678,62.268B
"CERN","Cerner Corporatio",57.22,57.22,57.60,56.82,57.09,670108,19.641B
"CHKP","Check Point Softw",62.62,61.97,62.89,61.725,62.18,814032,12.207B
"CHRW","C.H. Robinson Wor",59.99,60.34,60.44,59.69,59.92,1362304,9.414B
"CHTR","Charter Communica",128.72,128.28,129.05,127.90,128.07,506530,13.404B
"CMCSA","Comcast Corporati",47.56,47.74,47.99,47.40,47.69,6771992,124.4B
"COST","Costco Wholesale ",124.26,123.63,124.69,123.39,123.74,1211487,54.292B
"CSCO","Cisco Systems, In",21.565,21.47,21.69,21.26,21.365,73819016,115.6B
"CTRX","Catamaran Corpora",47.84,47.70,48.27,47.58,47.95,777222,9.869B
"CTSH","Cognizant Technol",93.95,93.87,94.72,93.27,93.44,1539369,28.420B
"CTXS","Citrix Systems, I",56.66,55.06,57.36,55.03,54.962,4614529,10.561B
